BIO	TOPO	TYPE
TI005691	200	DEATH_AH
TI005691	NoToponym	TOPO_NO
TI005692	200	DEATH_AH
TI005692	بغداد	TOPO_PR
TI005692	33.340309@44.344082	TOID_PR
TI005693	200	DEATH_AH
TI005693	NoToponym	TOPO_NO
TI005694	200	DEATH_AH
TI005694	الرملة	TOPO_PR
TI005694	31.931566@34.872938	TOID_PR
TI005695	200	DEATH_AH
TI005695	NoToponym	TOPO_NO
TI005696	200	DEATH_AH
TI005696	NoToponym	TOPO_NO
TI005697	200	DEATH_AH
TI005697	NoToponym	TOPO_NO
TI005698	200	DEATH_AH
TI005698	بغداد	TOPO_PR
TI005698	33.340309@44.344082	TOID_PR
TI005699	200	DEATH_AH
TI005699	NoToponym	TOPO_NO
TI005700	200	DEATH_AH
TI005700	NoToponym	TOPO_NO
TI005701	200	DEATH_AH
TI005701	NoToponym	TOPO_NO
TI005702	200	DEATH_AH
TI005702	بغداد	TOPO_PR
TI005702	33.340309@44.344082	TOID_PR
TI005703	200	DEATH_AH
TI005703	NoToponym	TOPO_NO
TI005704	200	DEATH_AH
TI005704	NoToponym	TOPO_NO
TI005705	200	DEATH_AH
TI005705	المدينة	TOPO_SE
TI005705	24.46861@39.61417	TOID_SE
TI005705	الكوفة	TOPO_PR
TI005705	32.03472@44.40333	TOID_PR
TI005705	المغرب	TOPO_SE
TI005705	33.291967@-4.790039	TOID_SE
TI005706	200	DEATH_AH
TI005706	NoToponym	TOPO_NO
TI005707	200	DEATH_AH
TI005707	NoToponym	TOPO_NO
TI005708	200	DEATH_AH
TI005708	NoToponym	TOPO_NO
TI005709	200	DEATH_AH
TI005709	NoToponym	TOPO_NO
TI005710	200	DEATH_AH
TI005710	الاسكندرية	TOPO_PR
TI005710	31.21564@29.95527	TOID_PR
TI005711	200	DEATH_AH
TI005711	NoToponym	TOPO_NO
TI005712	200	DEATH_AH
TI005712	NoToponym	TOPO_NO
TI005713	200	DEATH_AH
TI005713	NoToponym	TOPO_NO
TI005714	200	DEATH_AH
TI005714	NoToponym	TOPO_NO
TI005715	200	DEATH_AH
TI005715	NoToponym	TOPO_NO
TI005716	200	DEATH_AH
TI005716	NoToponym	TOPO_NO
TI005717	200	DEATH_AH
TI005717	دمشق	TOPO_PR
TI005717	33.511603@36.306633	TOID_PR
TI005718	200	DEATH_AH
TI005718	NoToponym	TOPO_NO
TI005719	200	DEATH_AH
TI005719	NoToponym	TOPO_NO
TI005720	200	DEATH_AH
TI005720	مكة	TOPO_PR
TI005720	21.416667@39.816667	TOID_PR
TI005721	200	DEATH_AH
TI005721	NoToponym	TOPO_NO
TI005722	200	DEATH_AH
TI005722	NoToponym	TOPO_NO
TI005723	200	DEATH_AH
TI005723	NoToponym	TOPO_NO
TI005724	200	DEATH_AH
TI005724	مصر	TOPO_PR
TI005724	30.08383@31.231384	TOID_PR
TI005725	200	DEATH_AH
TI005725	NoToponym	TOPO_NO
TI005726	200	DEATH_AH
TI005726	NoToponym	TOPO_NO
TI005727	200	DEATH_AH
TI005727	NoToponym	TOPO_NO
TI005728	200	DEATH_AH
TI005728	NoToponym	TOPO_NO
TI005729	200	DEATH_AH
TI005729	الشام	TOPO_PR
TI005729	34.672973@37.155762	TOID_PR
TI005730	200	DEATH_AH
TI005730	NoToponym	TOPO_NO
TI005731	200	DEATH_AH
TI005731	NoToponym	TOPO_NO
TI005732	200	DEATH_AH
TI005732	NoToponym	TOPO_NO
TI005733	200	DEATH_AH
TI005733	الحجاز	TOPO_PR
TI005733	23.285756@39.572754	TOID_PR
TI005733	الاسكندرية	TOPO_SE
TI005733	31.21564@29.95527	TOID_SE
TI005734	200	DEATH_AH
TI005734	NoToponym	TOPO_NO
TI005735	200	DEATH_AH
TI005735	مصر	TOPO_PR
TI005735	30.08383@31.231384	TOID_PR
TI005736	200	DEATH_AH
TI005736	الاردن	TOPO_PR
TI005736	32.849827@35.338898	TOID_PR
TI005737	200	DEATH_AH
TI005737	اصبهان	TOPO_SE
TI005737	32.65722@51.67761	TOID_SE
TI005737	البصرة	TOPO_SE
TI005737	30.53302@47.79747	TOID_SE
TI005737	المدينة	TOPO_PR
TI005737	24.46861@39.61417	TOID_PR
TI005738	200	DEATH_AH
TI005738	NoToponym	TOPO_NO
TI005739	200	DEATH_AH
TI005739	بغداد	TOPO_PR
TI005739	33.340309@44.344082	TOID_PR
TI005740	200	DEATH_AH
TI005740	NoToponym	TOPO_NO
TI005741	200	DEATH_AH
TI005741	جرجان	TOPO_PR
TI005741	37.478346@54.645996	TOID_PR
TI005741	مكة	TOPO_SE
TI005741	21.416667@39.816667	TOID_SE
TI005742	200	DEATH_AH
TI005742	الشام	TOPO_SE
TI005742	34.672973@37.155762	TOID_SE
TI005742	الجزيرة	TOPO_SE
TI005742	36.582011@42.484131	TOID_SE
TI005742	الرقة	TOPO_SE
TI005742	35.95283@39.00788	TOID_SE
TI005742	المدينة	TOPO_PR
TI005742	24.46861@39.61417	TOID_PR
TI005743	200	DEATH_AH
TI005743	NoToponym	TOPO_NO
TI005744	200	DEATH_AH
TI005744	صنعاء	TOPO_PR
TI005744	15.35472@44.20667	TOID_PR
TI005744	البصرة	TOPO_SE
TI005744	30.53302@47.79747	TOID_SE
TI005745	200	DEATH_AH
TI005745	NoToponym	TOPO_NO
TI005746	200	DEATH_AH
TI005746	NoToponym	TOPO_NO
TI005747	200	DEATH_AH
TI005747	NoToponym	TOPO_NO
TI005748	200	DEATH_AH
TI005748	NoToponym	TOPO_NO
TI005749	200	DEATH_AH
TI005749	مصر	TOPO_PR
TI005749	30.08383@31.231384	TOID_PR
TI005750	200	DEATH_AH
TI005750	NoToponym	TOPO_NO
TI005751	200	DEATH_AH
TI005751	NoToponym	TOPO_NO
TI005752	200	DEATH_AH
TI005752	NoToponym	TOPO_NO
TI005753	200	DEATH_AH
TI005753	NoToponym	TOPO_NO
TI005754	200	DEATH_AH
TI005754	NoToponym	TOPO_NO
TI005755	200	DEATH_AH
TI005755	NoToponym	TOPO_NO
TI005756	200	DEATH_AH
TI005756	دمشق	TOPO_PR
TI005756	33.511603@36.306633	TOID_PR
TI005757	200	DEATH_AH
TI005757	NoToponym	TOPO_NO
TI005758	200	DEATH_AH
TI005758	NoToponym	TOPO_NO
TI005759	200	DEATH_AH
TI005759	NoToponym	TOPO_NO
TI005760	200	DEATH_AH
TI005760	NoToponym	TOPO_NO
TI005761	200	DEATH_AH
TI005761	NoToponym	TOPO_NO
TI005762	200	DEATH_AH
TI005762	NoToponym	TOPO_NO
TI005763	200	DEATH_AH
TI005763	NoToponym	TOPO_NO
TI005764	200	DEATH_AH
TI005764	NoToponym	TOPO_NO
TI005765	200	DEATH_AH
TI005765	مكة	TOPO_PR
TI005765	21.416667@39.816667	TOID_PR
TI005766	200	DEATH_AH
TI005766	بغداد	TOPO_PR
TI005766	33.340309@44.344082	TOID_PR
TI005766	قرميسين	TOPO_SE
TI005766	34.31417@47.065	TOID_SE
TI005767	200	DEATH_AH
TI005767	الري	TOPO_SE
TI005767	35.69439@51.42151	TOID_SE
TI005767	اصبهان	TOPO_PR
TI005767	32.65722@51.67761	TOID_PR
TI005767	الجبال	TOPO_SE
TI005767	35.607292@48.449707	TOID_SE
TI005768	200	DEATH_AH
TI005768	NoToponym	TOPO_NO
TI005769	200	DEATH_AH
TI005769	مكة	TOPO_SE
TI005769	21.416667@39.816667	TOID_SE
TI005769	النوبة	TOPO_PR
TI005769	23.886842@32.931519	TOID_PR
TI005770	200	DEATH_AH
TI005770	NoToponym	TOPO_NO
TI005771	200	DEATH_AH
TI005771	NoToponym	TOPO_NO
TI005772	200	DEATH_AH
TI005772	NoToponym	TOPO_NO
TI005773	200	DEATH_AH
TI005773	NoToponym	TOPO_NO
TI005774	200	DEATH_AH
TI005774	NoToponym	TOPO_NO
TI005775	200	DEATH_AH
TI005775	دمشق	TOPO_PR
TI005775	33.511603@36.306633	TOID_PR
TI005776	200	DEATH_AH
TI005776	NoToponym	TOPO_NO
TI005777	200	DEATH_AH
TI005777	بلخ	TOPO_SE
TI005777	36.75635@66.8972	TOID_SE
TI005777	مكة	TOPO_PR
TI005777	21.416667@39.816667	TOID_PR
TI005778	200	DEATH_AH
TI005778	NoToponym	TOPO_NO
TI005779	200	DEATH_AH
TI005779	NoToponym	TOPO_NO
TI005780	200	DEATH_AH
TI005780	الري	TOPO_PR
TI005780	35.69439@51.42151	TOID_PR
TI005781	200	DEATH_AH
TI005781	NoToponym	TOPO_NO
TI005782	200	DEATH_AH
TI005782	NoToponym	TOPO_NO
TI005783	200	DEATH_AH
TI005783	NoToponym	TOPO_NO
TI005784	200	DEATH_AH
TI005784	قم	TOPO_PR
TI005784	34.6401@50.8764	TOID_PR
TI005785	200	DEATH_AH
TI005785	NoToponym	TOPO_NO
TI005786	200	DEATH_AH
TI005786	NoToponym	TOPO_NO
TI005787	200	DEATH_AH
TI005787	NoToponym	TOPO_NO
TI005788	200	DEATH_AH
TI005788	بغداد	TOPO_PR
TI005788	33.340309@44.344082	TOID_PR
TI005789	200	DEATH_AH
TI005789	NoToponym	TOPO_NO
TI005790	200	DEATH_AH
TI005790	الري	TOPO_PR
TI005790	35.69439@51.42151	TOID_PR
TI005791	200	DEATH_AH
TI005791	NoToponym	TOPO_NO
TI005792	200	DEATH_AH
TI005792	NoToponym	TOPO_NO
TI005793	200	DEATH_AH
TI005793	الاندلس	TOPO_SE
TI005793	39.578597@-3.735352	TOID_SE
TI005793	افريقية	TOPO_PR
TI005793	35.109125@9.624023	TOID_PR
TI005794	200	DEATH_AH
TI005794	NoToponym	TOPO_NO
TI005795	200	DEATH_AH
TI005795	NoToponym	TOPO_NO
TI005796	200	DEATH_AH
TI005796	NoToponym	TOPO_NO
TI005797	200	DEATH_AH
TI005797	NoToponym	TOPO_NO
TI005798	200	DEATH_AH
TI005798	NoToponym	TOPO_NO
TI005799	200	DEATH_AH
TI005799	NoToponym	TOPO_NO
TI005800	200	DEATH_AH
TI005800	NoToponym	TOPO_NO
TI005801	200	DEATH_AH
TI005801	البصرة	TOPO_PR
TI005801	30.53302@47.79747	TOID_PR
TI005802	200	DEATH_AH
TI005802	NoToponym	TOPO_NO
TI005803	200	DEATH_AH
TI005803	NoToponym	TOPO_NO
TI005804	200	DEATH_AH
TI005804	مرو	TOPO_PR
TI005804	37.662631@62.191501	TOID_PR
TI005804	قم	TOPO_SE
TI005804	34.6401@50.8764	TOID_SE
TI005804	خراسان	TOPO_SE
TI005804	36.564365@58.831787	TOID_SE
TI005805	200	DEATH_AH
TI005805	خراسان	TOPO_PR
TI005805	36.564365@58.831787	TOID_PR
TI005805	المدينة	TOPO_SE
TI005805	24.46861@39.61417	TOID_SE
TI005806	200	DEATH_AH
TI005806	NoToponym	TOPO_NO
TI005807	200	DEATH_AH
TI005807	NoToponym	TOPO_NO
TI005808	200	DEATH_AH
TI005808	NoToponym	TOPO_NO
TI005809	200	DEATH_AH
TI005809	NoToponym	TOPO_NO
TI005810	200	DEATH_AH
TI005810	الموصل	TOPO_PR
TI005810	36.335@43.11889	TOID_PR
TI005811	200	DEATH_AH
TI005811	NoToponym	TOPO_NO
TI005812	200	DEATH_AH
TI005812	NoToponym	TOPO_NO
TI005813	200	DEATH_AH
TI005813	NoToponym	TOPO_NO
TI005814	200	DEATH_AH
TI005814	NoToponym	TOPO_NO
TI005815	200	DEATH_AH
TI005815	NoToponym	TOPO_NO
TI005816	200	DEATH_AH
TI005816	مرو	TOPO_PR
TI005816	37.662631@62.191501	TOID_PR
TI005817	200	DEATH_AH
TI005817	NoToponym	TOPO_NO
TI005818	200	DEATH_AH
TI005818	NoToponym	TOPO_NO
TI005819	200	DEATH_AH
TI005819	NoToponym	TOPO_NO
TI005820	200	DEATH_AH
TI005820	بغداد	TOPO_SE
TI005820	33.340309@44.344082	TOID_SE
TI005820	الحجاز	TOPO_PR
TI005820	23.285756@39.572754	TOID_PR
TI005821	200	DEATH_AH
TI005821	NoToponym	TOPO_NO
TI005822	200	DEATH_AH
TI005822	دمشق	TOPO_PR
TI005822	33.511603@36.306633	TOID_PR
TI005823	200	DEATH_AH
TI005823	NoToponym	TOPO_NO
TI005824	200	DEATH_AH
TI005824	NoToponym	TOPO_NO
TI005825	200	DEATH_AH
TI005825	NoToponym	TOPO_NO
TI005826	200	DEATH_AH
TI005826	واسط	TOPO_PR
TI005826	32.5128@45.81817	TOID_PR
TI005827	200	DEATH_AH
TI005827	واسط	TOPO_PR
TI005827	32.5128@45.81817	TOID_PR
TI005828	200	DEATH_AH
TI005828	NoToponym	TOPO_NO
TI005829	200	DEATH_AH
TI005829	NoToponym	TOPO_NO
TI005830	200	DEATH_AH
TI005830	NoToponym	TOPO_NO
TI005831	200	DEATH_AH
TI005831	NoToponym	TOPO_NO
TI005832	200	DEATH_AH
TI005832	NoToponym	TOPO_NO
TI005833	200	DEATH_AH
TI005833	NoToponym	TOPO_NO
TI005834	200	DEATH_AH
TI005834	NoToponym	TOPO_NO
TI005835	200	DEATH_AH
TI005835	بغداد	TOPO_PR
TI005835	33.340309@44.344082	TOID_PR
TI005836	200	DEATH_AH
TI005836	NoToponym	TOPO_NO
TI005837	200	DEATH_AH
TI005837	بغداد	TOPO_PR
TI005837	33.340309@44.344082	TOID_PR
TI005838	200	DEATH_AH
TI005838	حران	TOPO_PR
TI005838	36.86@39.03139	TOID_PR
TI005839	200	DEATH_AH
TI005839	NoToponym	TOPO_NO
TI005840	200	DEATH_AH
TI005840	بيروت	TOPO_PR
TI005840	33.888629@35.495479	TOID_PR
TI005841	200	DEATH_AH
TI005841	NoToponym	TOPO_NO
TI005842	200	DEATH_AH
TI005842	الري	TOPO_PR
TI005842	35.69439@51.42151	TOID_PR
TI005843	200	DEATH_AH
TI005843	NoToponym	TOPO_NO
TI005844	200	DEATH_AH
TI005844	NoToponym	TOPO_NO
TI005845	200	DEATH_AH
TI005845	NoToponym	TOPO_NO
TI005846	200	DEATH_AH
TI005846	NoToponym	TOPO_NO
TI005847	200	DEATH_AH
TI005847	NoToponym	TOPO_NO
TI005848	200	DEATH_AH
TI005848	NoToponym	TOPO_NO
TI005849	200	DEATH_AH
TI005849	NoToponym	TOPO_NO
TI005850	200	DEATH_AH
TI005850	NoToponym	TOPO_NO
TI005851	200	DEATH_AH
TI005851	NoToponym	TOPO_NO
TI005852	200	DEATH_AH
TI005852	NoToponym	TOPO_NO
TI005853	200	DEATH_AH
TI005853	NoToponym	TOPO_NO
TI005854	200	DEATH_AH
TI005854	NoToponym	TOPO_NO
TI005855	200	DEATH_AH
TI005855	NoToponym	TOPO_NO
TI005856	200	DEATH_AH
TI005856	بغداد	TOPO_PR
TI005856	33.340309@44.344082	TOID_PR
TI005857	200	DEATH_AH
TI005857	المصيصة	TOPO_PR
TI005857	36.95778@35.619478	TOID_PR
TI005858	200	DEATH_AH
TI005858	NoToponym	TOPO_NO
TI005859	200	DEATH_AH
TI005859	NoToponym	TOPO_NO
TI005860	200	DEATH_AH
TI005860	مكة	TOPO_PR
TI005860	21.416667@39.816667	TOID_PR
TI005860	دمشق	TOPO_SE
TI005860	33.511603@36.306633	TOID_SE
TI005861	200	DEATH_AH
TI005861	الكوفة	TOPO_PR
TI005861	32.03472@44.40333	TOID_PR
TI005861	دمشق	TOPO_SE
TI005861	33.511603@36.306633	TOID_SE
TI005862	200	DEATH_AH
TI005862	NoToponym	TOPO_NO
TI005863	200	DEATH_AH
TI005863	NoToponym	TOPO_NO
TI005864	200	DEATH_AH
TI005864	NoToponym	TOPO_NO
TI005865	200	DEATH_AH
TI005865	بغداد	TOPO_PR
TI005865	33.340309@44.344082	TOID_PR
TI005866	200	DEATH_AH
TI005866	NoToponym	TOPO_NO
TI005867	200	DEATH_AH
TI005867	دمشق	TOPO_PR
TI005867	33.511603@36.306633	TOID_PR
TI005867	المزة	TOPO_SE
TI005867	33.503056@36.258333	TOID_SE
TI005868	200	DEATH_AH
TI005868	NoToponym	TOPO_NO
TI005869	200	DEATH_AH
TI005869	صنعاء	TOPO_PR
TI005869	15.35472@44.20667	TOID_PR
TI005870	200	DEATH_AH
TI005870	NoToponym	TOPO_NO
TI005871	200	DEATH_AH
TI005871	البصرة	TOPO_PR
TI005871	30.53302@47.79747	TOID_PR
TI005871	الحجاز	TOPO_SE
TI005871	23.285756@39.572754	TOID_SE
TI005871	الكوفة	TOPO_SE
TI005871	32.03472@44.40333	TOID_SE
TI005871	اصطخر	TOPO_SE
TI005871	29.9368@52.89	TOID_SE
TI005872	200	DEATH_AH
TI005872	العراق	TOPO_PR
TI005872	32.270413@45.032959	TOID_PR
TI005872	بغداد	TOPO_SE
TI005872	33.340309@44.344082	TOID_SE
TI005872	واسط	TOPO_SE
TI005872	32.5128@45.81817	TOID_SE
TI005872	المدينة	TOPO_SE
TI005872	24.46861@39.61417	TOID_SE
TI005872	مكة	TOPO_SE
TI005872	21.416667@39.816667	TOID_SE
TI005873	200	DEATH_AH
TI005873	NoToponym	TOPO_NO
TI005874	200	DEATH_AH
TI005874	المدينة	TOPO_PR
TI005874	24.46861@39.61417	TOID_PR
TI005875	200	DEATH_AH
TI005875	NoToponym	TOPO_NO
TI005876	200	DEATH_AH
TI005876	NoToponym	TOPO_NO
TI005877	200	DEATH_AH
TI005877	مرو	TOPO_PR
TI005877	37.662631@62.191501	TOID_PR
TI005878	200	DEATH_AH
TI005878	بغداد	TOPO_PR
TI005878	33.340309@44.344082	TOID_PR
TI005878	الشام	TOPO_SE
TI005878	34.672973@37.155762	TOID_SE
TI005878	مصر	TOPO_SE
TI005878	30.08383@31.231384	TOID_SE
TI005878	الاسكندرية	TOPO_SE
TI005878	31.21564@29.95527	TOID_SE
TI005878	الكوفة	TOPO_SE
TI005878	32.03472@44.40333	TOID_SE
TI005878	قم	TOPO_SE
TI005878	34.6401@50.8764	TOID_SE
TI005879	200	DEATH_AH
TI005879	NoToponym	TOPO_NO
TI005880	200	DEATH_AH
TI005880	نيسابور	TOPO_SE
TI005880	36.21329@58.79576	TOID_SE
TI005880	فيد	TOPO_PR
TI005880	27.11423@42.51818	TOID_PR
TI005881	200	DEATH_AH
TI005881	NoToponym	TOPO_NO
TI005882	200	DEATH_AH
TI005882	NoToponym	TOPO_NO
TI005883	200	DEATH_AH
TI005883	البصرة	TOPO_PR
TI005883	30.53302@47.79747	TOID_PR
TI005884	200	DEATH_AH
TI005884	السند	TOPO_SE
TI005884	27.023899@68.444824	TOID_SE
TI005884	الشام	TOPO_PR
TI005884	34.672973@37.155762	TOID_PR
TI005885	200	DEATH_AH
TI005885	مصر	TOPO_PR
TI005885	30.08383@31.231384	TOID_PR
TI005886	200	DEATH_AH
TI005886	NoToponym	TOPO_NO
TI005887	200	DEATH_AH
TI005887	نيسابور	TOPO_PR
TI005887	36.21329@58.79576	TOID_PR
TI005888	200	DEATH_AH
TI005888	NoToponym	TOPO_NO
TI005889	200	DEATH_AH
TI005889	NoToponym	TOPO_NO
TI005890	200	DEATH_AH
TI005890	مكة	TOPO_SE
TI005890	21.416667@39.816667	TOID_SE
TI005890	الروم	TOPO_SE
TI005890	39.201611@33.991699	TOID_SE
TI005890	طوس	TOPO_SE
TI005890	36.4849@59.4979	TOID_SE
TI005890	الحجاز	TOPO_SE
TI005890	23.285756@39.572754	TOID_SE
TI005890	الفرما	TOPO_SE
TI005890	31.04259@32.53998	TOID_SE
TI005890	الري	TOPO_PR
TI005890	35.69439@51.42151	TOID_PR
TI005890	خراسان	TOPO_SE
TI005890	36.564365@58.831787	TOID_SE
TI005891	200	DEATH_AH
TI005891	الكوفة	TOPO_SE
TI005891	32.03472@44.40333	TOID_SE
TI005891	مصر	TOPO_PR
TI005891	30.08383@31.231384	TOID_PR
TI005892	200	DEATH_AH
TI005892	NoToponym	TOPO_NO
TI005893	200	DEATH_AH
TI005893	NoToponym	TOPO_NO
TI005894	200	DEATH_AH
TI005894	NoToponym	TOPO_NO
TI005895	200	DEATH_AH
TI005895	المدينة	TOPO_PR
TI005895	24.46861@39.61417	TOID_PR
TI005896	200	DEATH_AH
TI005896	صنعاء	TOPO_PR
TI005896	15.35472@44.20667	TOID_PR
TI005896	اليمن	TOPO_SE
TI005896	14.953277@44.868164	TOID_SE
TI005897	200	DEATH_AH
TI005897	NoToponym	TOPO_NO
TI005898	200	DEATH_AH
TI005898	NoToponym	TOPO_NO
TI005899	200	DEATH_AH
TI005899	مصر	TOPO_SE
TI005899	30.08383@31.231384	TOID_SE
TI005899	القيروان	TOPO_PR
TI005899	35.6781@10.09633	TOID_PR
TI005900	200	DEATH_AH
TI005900	الشام	TOPO_SE
TI005900	34.672973@37.155762	TOID_SE
TI005900	عبادان	TOPO_SE
TI005900	30.3392@48.3043	TOID_SE
TI005900	طرسوس	TOPO_SE
TI005900	36.916667@34.9	TOID_SE
TI005900	المصيصة	TOPO_SE
TI005900	36.95778@35.619478	TOID_SE
TI005900	القدس	TOPO_SE
TI005900	31.76904@35.21633	TOID_SE
TI005900	الكوفة	TOPO_SE
TI005900	32.03472@44.40333	TOID_SE
TI005900	العراق	TOPO_SE
TI005900	32.270413@45.032959	TOID_SE
TI005900	الحضر	TOPO_SE
TI005900	35.5729@42.73395	TOID_SE
TI005900	المدينة	TOPO_SE
TI005900	24.46861@39.61417	TOID_SE
TI005900	البصرة	TOPO_SE
TI005900	30.53302@47.79747	TOID_SE
TI005900	دمشق	TOPO_SE
TI005900	33.511603@36.306633	TOID_SE
TI005900	مكة	TOPO_SE
TI005900	21.416667@39.816667	TOID_SE
TI005900	خراسان	TOPO_PR
TI005900	36.564365@58.831787	TOID_PR
TI005900	الانبار	TOPO_SE
TI005900	33.425@43.716667	TOID_SE
TI005900	فيد	TOPO_SE
TI005900	27.11423@42.51818	TOID_SE
TI005901	200	DEATH_AH
TI005901	NoToponym	TOPO_NO
TI005902	200	DEATH_AH
TI005902	الكوفة	TOPO_PR
TI005902	32.03472@44.40333	TOID_PR
TI005903	200	DEATH_AH
TI005903	الشام	TOPO_SE
TI005903	34.672973@37.155762	TOID_SE
TI005903	المدينة	TOPO_SE
TI005903	24.46861@39.61417	TOID_SE
TI005903	البصرة	TOPO_PR
TI005903	30.53302@47.79747	TOID_PR
TI005904	200	DEATH_AH
TI005904	NoToponym	TOPO_NO
TI005905	200	DEATH_AH
TI005905	NoToponym	TOPO_NO
TI005906	200	DEATH_AH
TI005906	بغداد	TOPO_PR
TI005906	33.340309@44.344082	TOID_PR
TI005907	200	DEATH_AH
TI005907	البصرة	TOPO_PR
TI005907	30.53302@47.79747	TOID_PR
TI005908	200	DEATH_AH
TI005908	الحجاز	TOPO_PR
TI005908	23.285756@39.572754	TOID_PR
TI005908	العراق	TOPO_SE
TI005908	32.270413@45.032959	TOID_SE
TI005908	الشام	TOPO_SE
TI005908	34.672973@37.155762	TOID_SE
TI005908	مصر	TOPO_SE
TI005908	30.08383@31.231384	TOID_SE
TI005909	200	DEATH_AH
TI005909	NoToponym	TOPO_NO
TI005910	200	DEATH_AH
TI005910	NoToponym	TOPO_NO
TI005911	200	DEATH_AH
TI005911	شيراز	TOPO_PR
TI005911	29.61031@52.53114	TOID_PR
TI005912	200	DEATH_AH
TI005912	افريقية	TOPO_PR
TI005912	35.109125@9.624023	TOID_PR
TI005913	200	DEATH_AH
TI005913	مكة	TOPO_PR
TI005913	21.416667@39.816667	TOID_PR
TI005914	200	DEATH_AH
TI005914	الري	TOPO_PR
TI005914	35.69439@51.42151	TOID_PR
TI005915	200	DEATH_AH
TI005915	بغداد	TOPO_PR
TI005915	33.340309@44.344082	TOID_PR
TI005916	200	DEATH_AH
TI005916	NoToponym	TOPO_NO
TI005917	200	DEATH_AH
TI005917	NoToponym	TOPO_NO
TI005918	200	DEATH_AH
TI005918	NoToponym	TOPO_NO
TI005919	200	DEATH_AH
TI005919	NoToponym	TOPO_NO
TI005921	200	DEATH_AH
TI005921	NoToponym	TOPO_NO
TI005922	200	DEATH_AH
TI005922	NoToponym	TOPO_NO
TI005923	200	DEATH_AH
TI005923	الري	TOPO_PR
TI005923	35.69439@51.42151	TOID_PR
TI005924	200	DEATH_AH
TI005924	NoToponym	TOPO_NO
TI005925	200	DEATH_AH
TI005925	NoToponym	TOPO_NO
TI005926	200	DEATH_AH
TI005926	المصيصة	TOPO_PR
TI005926	36.95778@35.619478	TOID_PR
TI005927	200	DEATH_AH
TI005927	NoToponym	TOPO_NO
TI005928	200	DEATH_AH
TI005928	الاهواز	TOPO_PR
TI005928	31.3203@48.6693	TOID_PR
TI005929	200	DEATH_AH
TI005929	بغداد	TOPO_PR
TI005929	33.340309@44.344082	TOID_PR
TI005930	200	DEATH_AH
TI005930	الري	TOPO_PR
TI005930	35.69439@51.42151	TOID_PR
TI005931	200	DEATH_AH
TI005931	بغداد	TOPO_PR
TI005931	33.340309@44.344082	TOID_PR
TI005931	الشام	TOPO_SE
TI005931	34.672973@37.155762	TOID_SE
TI005931	المدينة	TOPO_SE
TI005931	24.46861@39.61417	TOID_SE
TI005932	200	DEATH_AH
TI005932	مكة	TOPO_SE
TI005932	21.416667@39.816667	TOID_SE
TI005932	الكوفة	TOPO_PR
TI005932	32.03472@44.40333	TOID_PR
TI005933	200	DEATH_AH
TI005933	NoToponym	TOPO_NO
TI005934	200	DEATH_AH
TI005934	مكة	TOPO_PR
TI005934	21.416667@39.816667	TOID_PR
TI005935	200	DEATH_AH
TI005935	NoToponym	TOPO_NO
TI005936	200	DEATH_AH
TI005936	المزة	TOPO_PR
TI005936	33.503056@36.258333	TOID_PR
TI005936	دمشق	TOPO_SE
TI005936	33.511603@36.306633	TOID_SE
TI005936	تبوك	TOPO_SE
TI005936	28.38333@36.58333	TOID_SE
TI005937	200	DEATH_AH
TI005937	NoToponym	TOPO_NO
TI005938	200	DEATH_AH
TI005938	NoToponym	TOPO_NO
TI005939	200	DEATH_AH
TI005939	NoToponym	TOPO_NO
TI005940	200	DEATH_AH
TI005940	NoToponym	TOPO_NO
TI005941	200	DEATH_AH
TI005941	طرسوس	TOPO_PR
TI005941	36.916667@34.9	TOID_PR
TI005942	200	DEATH_AH
TI005942	البصرة	TOPO_SE
TI005942	30.53302@47.79747	TOID_SE
TI005942	بغداد	TOPO_SE
TI005942	33.340309@44.344082	TOID_SE
TI005942	الاهواز	TOPO_PR
TI005942	31.3203@48.6693	TOID_PR
TI005943	200	DEATH_AH
TI005943	NoToponym	TOPO_NO
TI005995	210	DEATH_AH
TI005995	دارا	TOPO_PR
TI005995	37.177702@40.952826	TOID_PR
TI005995	البصرة	TOPO_SE
TI005995	30.53302@47.79747	TOID_SE
TI005996	210	DEATH_AH
TI005996	جرجان	TOPO_PR
TI005996	37.478346@54.645996	TOID_PR
TI005996	قومس	TOPO_SE
TI005996	36.228323@54.393311	TOID_SE
TI005997	210	DEATH_AH
TI005997	مصر	TOPO_PR
TI005997	30.08383@31.231384	TOID_PR
TI005998	210	DEATH_AH
TI005998	اصبهان	TOPO_PR
TI005998	32.65722@51.67761	TOID_PR
TI005999	210	DEATH_AH
TI005999	NoToponym	TOPO_NO
TI006000	210	DEATH_AH
TI006000	NoToponym	TOPO_NO
TI006001	210	DEATH_AH
TI006001	NoToponym	TOPO_NO
TI006002	210	DEATH_AH
TI006002	NoToponym	TOPO_NO
TI006003	210	DEATH_AH
TI006003	صنعاء	TOPO_PR
TI006003	15.35472@44.20667	TOID_PR
TI006004	210	DEATH_AH
TI006004	NoToponym	TOPO_NO
TI006005	210	DEATH_AH
TI006005	NoToponym	TOPO_NO
TI006006	210	DEATH_AH
TI006006	NoToponym	TOPO_NO
TI006007	210	DEATH_AH
TI006007	بغداد	TOPO_PR
TI006007	33.340309@44.344082	TOID_PR
TI006008	210	DEATH_AH
TI006008	الري	TOPO_SE
TI006008	35.69439@51.42151	TOID_SE
